style_number, astro_sign
36197, ERROR
36604, Pisces
36405, Pisces
37031, Pisces
36290, Pisces
36196, Gemini
-, Scorpio
36289, Scorpio
36404, ERROR
36606, Aries
36609, Aries
36624, Pisces
37046, Pisces
36164, Pisces
36938, Sagittarius
41120, Sagittarius
36816, Aquarius
37044, Aquarius
36741, Aquarius
37128, Leo
37126, Scorpio
37127, Capricorn
36720, Pisces
36055, Virgo
36055, Virgo
36812, Gemini
36623, ERROR
37045, Aries
36145, Aries
36641, Leo
36826, Leo
36177, Leo
36744, Taurus
36811, Taurus
36019, Scorpio
36162, Pisces
36183, Leo
36184, Aries
36640, Scorpio
36825, Scorpio
36179, Scorpio
36998, Virgo
36173, Virgo
36950, Scorpio
36172, Scorpio
36132, Pisces
36155, Aries
41128, Virgo
41131, Virgo
41130, Virgo
41129, Virgo
36619, Taurus
36819, Taurus
36158, Taurus
36158, Taurus
37329, Capricorn
37829, Capricorn
36820, Libra
36139, Libra
37012, Taurus
36125, Taurus
36191, Sagittarius
36194, Gemini
36102, Aquarius
36999, Aquarius
36028, Aquarius
41132, Aries
41127, Cancer
41200, Virgo
37056, Libra
41121, Libra
38236, ERROR
38034, Scorpio
41107, ERROR
41201, Leo
37030, Capricorn
41126, Capricorn
41135, Aries
41134, Aries
41133, Aries
36152, Capricorn
41151, ERROR
41147, ERROR
36401, Gemini
36166, Gemini
36537, Aquarius
36957, Aquarius
36057, Aquarius
36968, Leo
36746, Leo
36737, Aries
36725, Aries
36637, Libra
37052, Libra
36186, Libra
36710, Capricorn
36036, Gemini
41110, Virgo
41110, Virgo
36944, Pisces
36104, Pisces
36745, Taurus
36635, Virgo
37065, Virgo
36190, Virgo
37529, Capricorn
36620, Gemini
37036, Gemini
36148, Gemini
36636, Virgo
37053, Virgo
36188, Virgo
36629, Aquarius
36182, Aquarius
36613, Taurus
37042, Taurus
36159, Taurus
39666, Aries
36127, Aries
36193, Virgo
36628, Virgo
36181, Virgo
42133, ERROR
37134, Capricorn
37134, Capricorn
37330, Taurus
37830, Taurus
37133, Taurus
37333, Aries
37532, Aries
37137, Aries
37331, Virgo
37531, Virgo
37132, Virgo
36180, Aquarius
36023, Aquarius
36163, Scorpio
00004, ERROR
00003, ERROR
00001, ERROR
00002, ERROR
36610, Libra
46005, Sagittarius
04295, Taurus
40172, Scorpio
41146, Gemini
36129, Sagittarius
40047, Aquarius
04019, Taurus
48403, ERROR
47091, Pisces
47042, Gemini
49021, Taurus
40881, Taurus
44207, ERROR
04259, Taurus
04121, Aquarius
04604, Gemini
04315, Virgo
04012, Pisces
48432, ERROR
40897, Capricorn
40446, Aquarius
40025, Capricorn
36106, Aries
36107, Taurus
38068, ERROR
75017, ERROR
75023, ERROR
75013, ERROR
75009, ERROR
75015, ERROR
75010, ERROR
75018, ERROR
75022, ERROR
75021, ERROR
75014, ERROR
75008, ERROR
75012, ERROR
75024, ERROR
75020, ERROR
75016, ERROR
75019, ERROR
75025, ERROR
75011, ERROR
40088, Sagittarius
04509, Virgo
40089, Leo
40792, Aries
40660, Gemini
40678, Cancer
47045, Virgo
04301, Taurus
40240, Scorpio
04359, Leo
04250, Taurus
42022, Scorpio
42048, Capricorn
42006, Aries
42009, Pisces
42001, Leo
42021, Gemini
42005, Gemini
42032, Gemini
47096, Taurus
42030, Capricorn
36712, Aries
34108, Virgo
36728, Virgo
34107, Pisces
36727, Pisces
42028, Cancer
44124, Pisces
42045, Aries
42011, Pisces
42014, Taurus
42023, Scorpio
42035, Leo
42003, Cancer
42036, Virgo
